Subfolder,Code_Number,Test_Passed,Error
advanced1,1,No,
advanced1,2,Fail,"lora3_newData_50step_r128_temp03\advanced1_2:8: syntax error
I give up."
advanced1,3,No,
advanced2,1,Yes,
advanced2,2,No,
advanced2,3,No,
advanced3,1,Fail,"lora3_newData_50step_r128_temp03\advanced3_1:30: syntax error
lora3_newData_50step_r128_temp03\advanced3_1:30: error: Invalid module instantiation
lora3_newData_50step_r128_temp03\advanced3_1:33: syntax error
lora3_newData_50step_r128_temp03\advanced3_1:33: error: invalid module item.
lora3_newData_50step_r128_temp03\advanced3_1:34: syntax error
lora3_newData_50step_r128_temp03\advanced3_1:34: error: invalid module item.
lora3_newData_50step_r128_temp03\advanced3_1:35: syntax error
lora3_newData_50step_r128_temp03\advanced3_1:35: error: invalid module item.
lora3_newData_50step_r128_temp03\advanced3_1:36: syntax error
lora3_newData_50step_r128_temp03\advanced3_1:39: error: invalid module item."
advanced3,2,Fail,"lora3_newData_50step_r128_temp03\advanced3_2:29: syntax error
lora3_newData_50step_r128_temp03\advanced3_2:29: error: Invalid module instantiation
lora3_newData_50step_r128_temp03\advanced3_2:33: error: invalid module item.
lora3_newData_50step_r128_temp03\advanced3_2:34: syntax error
lora3_newData_50step_r128_temp03\advanced3_2:36: error: invalid module item.
lora3_newData_50step_r128_temp03\advanced3_2:37: syntax error
lora3_newData_50step_r128_temp03\advanced3_2:37: error: invalid module item.
lora3_newData_50step_r128_temp03\advanced3_2:38: syntax error
lora3_newData_50step_r128_temp03\advanced3_2:40: error: invalid module item.
lora3_newData_50step_r128_temp03\advanced3_2:41: syntax error
lora3_newData_50step_r128_temp03\advanced3_2:41: error: invalid module item.
lora3_newData_50step_r128_temp03\advanced3_2:42: syntax error
lora3_newData_50step_r128_temp03\advanced3_2:44: error: invalid module item.
lora3_newData_50step_r128_temp03\advanced3_2:45: syntax error
lora3_newData_50step_r128_temp03\advanced3_2:45: error: invalid module item.
lora3_newData_50step_r128_temp03\advanced3_2:46: syntax error
I give up."
advanced3,3,Yes,
advanced4,1,Yes,
advanced4,2,Yes,
advanced4,3,Yes,
advanced5,1,Fail,"lora3_newData_50step_r128_temp03\advanced5_1:15: syntax error
lora3_newData_50step_r128_temp03\advanced5_1:15: error: Invalid module instantiation
lora3_newData_50step_r128_temp03\advanced5_1:18: syntax error
lora3_newData_50step_r128_temp03\advanced5_1:18: error: invalid module item.
lora3_newData_50step_r128_temp03\advanced5_1:19: syntax error
lora3_newData_50step_r128_temp03\advanced5_1:19: error: invalid module item.
lora3_newData_50step_r128_temp03\advanced5_1:20: syntax error
lora3_newData_50step_r128_temp03\advanced5_1:20: error: invalid module item.
lora3_newData_50step_r128_temp03\advanced5_1:21: syntax error
lora3_newData_50step_r128_temp03\advanced5_1:25: error: invalid module item.
lora3_newData_50step_r128_temp03\advanced5_1:26: syntax error
lora3_newData_50step_r128_temp03\advanced5_1:26: error: invalid module item.
lora3_newData_50step_r128_temp03\advanced5_1:27: syntax error
lora3_newData_50step_r128_temp03\advanced5_1:29: error: invalid module item."
advanced5,2,Fail,"lora3_newData_50step_r128_temp03\advanced5_2:32: syntax error
I give up."
advanced5,3,Fail,"lora3_newData_50step_r128_temp03\advanced5_3:33: syntax error
lora3_newData_50step_r128_temp03\advanced5_3:33: error: Invalid module instantiation
lora3_newData_50step_r128_temp03\advanced5_3:36: syntax error
lora3_newData_50step_r128_temp03\advanced5_3:36: error: invalid module item.
lora3_newData_50step_r128_temp03\advanced5_3:37: syntax error
lora3_newData_50step_r128_temp03\advanced5_3:37: error: invalid module item.
lora3_newData_50step_r128_temp03\advanced5_3:38: syntax error
lora3_newData_50step_r128_temp03\advanced5_3:38: error: invalid module item.
lora3_newData_50step_r128_temp03\advanced5_3:39: syntax error
lora3_newData_50step_r128_temp03\advanced5_3:42: error: invalid module item.
lora3_newData_50step_r128_temp03\advanced5_3:45: syntax error
I give up."
basic1,1,Yes,
basic1,2,Yes,
basic1,3,Yes,
basic2,1,Yes,
basic2,2,Yes,
basic2,3,Yes,
basic3,1,Yes,
basic3,2,Yes,
basic3,3,Yes,
basic4,1,No,
basic4,2,Fail,"lora3_newData_50step_r128_temp03\basic4_2:9: syntax error
I give up."
basic4,3,Fail,"lora3_newData_50step_r128_temp03\basic4_3:10: syntax error
I give up."
intermediate1,1,No,
intermediate1,2,Yes,
intermediate1,3,Yes,
intermediate2,1,Yes,
intermediate2,2,Yes,
intermediate2,3,Yes,
intermediate3,1,Fail,"lora3_newData_50step_r128_temp03\intermediate3_1:34: syntax error
I give up."
intermediate3,2,No,
intermediate3,3,Fail,"lora3_newData_50step_r128_temp03\intermediate3_3:26: syntax error
I give up."
intermediate4,1,Yes,
intermediate4,2,Yes,
intermediate4,3,Yes,
intermediate5,1,Yes,
intermediate5,2,Fail,"lora3_newData_50step_r128_temp03\intermediate5_2:26: syntax error
I give up."
intermediate5,3,Fail,"lora3_newData_50step_r128_temp03\intermediate5_3:27: syntax error
I give up."
intermediate6,1,Yes,
intermediate6,2,Yes,
intermediate6,3,Fail,"lora3_newData_50step_r128_temp03\intermediate6_3:10: error: q is not a valid l-value in tb_ram.UUT.
lora3_newData_50step_r128_temp03\intermediate6_3:3:      : q is declared here as wire.
1 error(s) during elaboration."
intermediate7,1,Yes,
intermediate7,2,Fail,"lora3_newData_50step_r128_temp03\intermediate7_2:57: syntax error
I give up."
intermediate7,3,Fail,"lora3_newData_50step_r128_temp03\intermediate7_3:71: syntax error
I give up."
intermediate8,1,No,
intermediate8,2,Yes,
intermediate8,3,No,
