Subfolder,Code_Number,Test_Passed,Error
advanced1,1,No,
advanced1,2,No,
advanced1,3,No,
advanced2,1,Fail,"mistral-FT-temp05\advanced2_1:4: syntax error
mistral-FT-temp05\advanced2_1:8: error: invalid module item.
mistral-FT-temp05\advanced2_1:9: syntax error
mistral-FT-temp05\advanced2_1:10: error: invalid module item."
advanced2,2,Fail,"mistral-FT-temp05\advanced2_2:41: syntax error
I give up."
advanced2,3,Fail,"mistral-FT-temp05\advanced2_3:9: syntax error
I give up."
advanced3,1,Fail,"mistral-FT-temp05\advanced3_1:17: syntax error
mistral-FT-temp05\advanced3_1:17: error: Invalid module instantiation
mistral-FT-temp05\advanced3_1:20: syntax error
mistral-FT-temp05\advanced3_1:20: error: invalid module item.
mistral-FT-temp05\advanced3_1:21: syntax error
mistral-FT-temp05\advanced3_1:21: error: invalid module item.
mistral-FT-temp05\advanced3_1:22: syntax error
mistral-FT-temp05\advanced3_1:22: error: invalid module item.
mistral-FT-temp05\advanced3_1:23: syntax error
I give up."
advanced3,2,Fail,"mistral-FT-temp05\advanced3_2:17: syntax error
mistral-FT-temp05\advanced3_2:17: error: Invalid module instantiation
mistral-FT-temp05\advanced3_2:20: syntax error
mistral-FT-temp05\advanced3_2:20: error: invalid module item.
mistral-FT-temp05\advanced3_2:21: syntax error
mistral-FT-temp05\advanced3_2:21: error: invalid module item.
mistral-FT-temp05\advanced3_2:22: syntax error
mistral-FT-temp05\advanced3_2:22: error: invalid module item.
mistral-FT-temp05\advanced3_2:23: syntax error
I give up."
advanced3,3,Yes,
advanced4,1,Fail,"mistral-FT-temp05\advanced4_1:36: syntax error
I give up."
advanced4,2,Fail,"mistral-FT-temp05\advanced4_2:9: syntax error
mistral-FT-temp05\advanced4_2:13: error: invalid module item.
mistral-FT-temp05\advanced4_2:14: syntax error
mistral-FT-temp05\advanced4_2:15: error: invalid module item.
mistral-FT-temp05\advanced4_2:16: syntax error
mistral-FT-temp05\advanced4_2:16: error: invalid module item.
mistral-FT-temp05\advanced4_2:17: syntax error
mistral-FT-temp05\advanced4_2:17: error: invalid module item.
mistral-FT-temp05\advanced4_2:18: syntax error
mistral-FT-temp05\advanced4_2:18: error: invalid module item.
mistral-FT-temp05\advanced4_2:19: syntax error
mistral-FT-temp05\advanced4_2:19: error: invalid module item.
mistral-FT-temp05\advanced4_2:20: syntax error
I give up."
advanced4,3,Fail,"mistral-FT-temp05\advanced4_3:9: syntax error
mistral-FT-temp05\advanced4_3:13: error: invalid module item.
mistral-FT-temp05\advanced4_3:14: syntax error
mistral-FT-temp05\advanced4_3:15: error: invalid module item.
mistral-FT-temp05\advanced4_3:16: syntax error
mistral-FT-temp05\advanced4_3:16: error: invalid module item.
mistral-FT-temp05\advanced4_3:17: syntax error
mistral-FT-temp05\advanced4_3:17: error: invalid module item.
mistral-FT-temp05\advanced4_3:18: syntax error
mistral-FT-temp05\advanced4_3:18: error: invalid module item.
mistral-FT-temp05\advanced4_3:19: syntax error
mistral-FT-temp05\advanced4_3:19: error: invalid module item.
mistral-FT-temp05\advanced4_3:20: syntax error
I give up."
advanced5,1,Fail,"mistral-FT-temp05\advanced5_1:21: syntax error
mistral-FT-temp05\advanced5_1:21: error: Invalid module instantiation
mistral-FT-temp05\advanced5_1:24: syntax error
mistral-FT-temp05\advanced5_1:24: error: invalid module item.
mistral-FT-temp05\advanced5_1:25: syntax error
mistral-FT-temp05\advanced5_1:25: error: invalid module item.
mistral-FT-temp05\advanced5_1:26: syntax error
mistral-FT-temp05\advanced5_1:26: error: invalid module item.
mistral-FT-temp05\advanced5_1:27: syntax error
I give up."
advanced5,2,Fail,"mistral-FT-temp05\advanced5_2:20: syntax error
mistral-FT-temp05\advanced5_2:20: error: syntax error in continuous assignment"
advanced5,3,Fail,"mistral-FT-temp05\advanced5_3:15: syntax error
mistral-FT-temp05\advanced5_3:15: error: Invalid module instantiation
mistral-FT-temp05\advanced5_3:18: syntax error
mistral-FT-temp05\advanced5_3:18: error: invalid module item.
mistral-FT-temp05\advanced5_3:19: syntax error
mistral-FT-temp05\advanced5_3:19: error: invalid module item.
mistral-FT-temp05\advanced5_3:20: syntax error
mistral-FT-temp05\advanced5_3:20: error: invalid module item.
mistral-FT-temp05\advanced5_3:21: syntax error
I give up."
basic1,1,Yes,
basic1,2,Yes,
basic1,3,Fail,"mistral-FT-temp05\basic1_3:7: error: Module definition wire_assign_delay cannot nest into module wire_assign.
mistral-FT-temp05\basic1_3:7: syntax error
mistral-FT-temp05\basic1_3:1: Errors in port declarations.
mistral-FT-temp05\basic1_3:13: error: Module definition wire_assign_delay_bit cannot nest into module wire_assign_delay.
mistral-FT-temp05\basic1_3:13: syntax error
mistral-FT-temp05\basic1_3:1: Errors in port declarations.
mistral-FT-temp05\basic1_3:19: error: Module definition wire_assign_delay_for cannot nest into module wire_assign_delay_bit.
mistral-FT-temp05\basic1_3:19: syntax error
mistral-FT-temp05\basic1_3:1: Errors in port declarations.
mistral-FT-temp05\basic1_3:25: syntax error
I give up."
basic2,1,Yes,
basic2,2,Yes,
basic2,3,Yes,
basic3,1,Fail,"mistral-FT-temp05\basic3_1:21: syntax error
I give up."
