Subfolder,Code_Number,Test_Passed,Error
advanced1,1,Fail,"lora3_newData_50step_r128_temp02\advanced1_1:8: syntax error
I give up."
advanced1,2,Fail,"lora3_newData_50step_r128_temp02\advanced1_2:8: syntax error
I give up."
advanced1,3,Yes,
advanced2,1,Yes,
advanced2,2,No,
advanced2,3,No,
advanced3,1,Fail,"lora3_newData_50step_r128_temp02\advanced3_1:29: syntax error
lora3_newData_50step_r128_temp02\advanced3_1:29: error: Invalid module instantiation
lora3_newData_50step_r128_temp02\advanced3_1:33: error: invalid module item.
lora3_newData_50step_r128_temp02\advanced3_1:34: syntax error
lora3_newData_50step_r128_temp02\advanced3_1:36: error: invalid module item.
lora3_newData_50step_r128_temp02\advanced3_1:37: syntax error
lora3_newData_50step_r128_temp02\advanced3_1:37: error: invalid module item.
lora3_newData_50step_r128_temp02\advanced3_1:38: syntax error
lora3_newData_50step_r128_temp02\advanced3_1:40: error: invalid module item.
lora3_newData_50step_r128_temp02\advanced3_1:41: syntax error
lora3_newData_50step_r128_temp02\advanced3_1:41: error: invalid module item.
lora3_newData_50step_r128_temp02\advanced3_1:42: syntax error
lora3_newData_50step_r128_temp02\advanced3_1:44: error: invalid module item.
lora3_newData_50step_r128_temp02\advanced3_1:45: syntax error
lora3_newData_50step_r128_temp02\advanced3_1:45: error: invalid module item.
lora3_newData_50step_r128_temp02\advanced3_1:46: syntax error
I give up."
advanced3,2,Fail,"lora3_newData_50step_r128_temp02\advanced3_2:28: syntax error
lora3_newData_50step_r128_temp02\advanced3_2:28: error: Invalid module instantiation
lora3_newData_50step_r128_temp02\advanced3_2:32: error: invalid module item.
lora3_newData_50step_r128_temp02\advanced3_2:33: syntax error
lora3_newData_50step_r128_temp02\advanced3_2:35: error: invalid module item.
lora3_newData_50step_r128_temp02\advanced3_2:36: syntax error
lora3_newData_50step_r128_temp02\advanced3_2:36: error: invalid module item.
lora3_newData_50step_r128_temp02\advanced3_2:37: syntax error
lora3_newData_50step_r128_temp02\advanced3_2:39: error: invalid module item.
lora3_newData_50step_r128_temp02\advanced3_2:40: syntax error
lora3_newData_50step_r128_temp02\advanced3_2:40: error: invalid module item.
lora3_newData_50step_r128_temp02\advanced3_2:41: syntax error
lora3_newData_50step_r128_temp02\advanced3_2:43: error: invalid module item.
lora3_newData_50step_r128_temp02\advanced3_2:44: syntax error
lora3_newData_50step_r128_temp02\advanced3_2:44: error: invalid module item.
lora3_newData_50step_r128_temp02\advanced3_2:45: syntax error
lora3_newData_50step_r128_temp02\advanced3_2:49: error: invalid module item."
advanced3,3,Yes,
advanced4,1,Yes,
advanced4,2,Yes,
advanced4,3,Yes,
advanced5,1,Fail,"lora3_newData_50step_r128_temp02\advanced5_1:15: syntax error
lora3_newData_50step_r128_temp02\advanced5_1:15: error: Invalid module instantiation
lora3_newData_50step_r128_temp02\advanced5_1:18: syntax error
lora3_newData_50step_r128_temp02\advanced5_1:18: error: invalid module item.
lora3_newData_50step_r128_temp02\advanced5_1:19: syntax error
lora3_newData_50step_r128_temp02\advanced5_1:19: error: invalid module item.
lora3_newData_50step_r128_temp02\advanced5_1:20: syntax error
lora3_newData_50step_r128_temp02\advanced5_1:20: error: invalid module item.
lora3_newData_50step_r128_temp02\advanced5_1:21: syntax error
lora3_newData_50step_r128_temp02\advanced5_1:25: error: invalid module item.
lora3_newData_50step_r128_temp02\advanced5_1:26: syntax error
lora3_newData_50step_r128_temp02\advanced5_1:26: error: invalid module item.
lora3_newData_50step_r128_temp02\advanced5_1:27: syntax error
lora3_newData_50step_r128_temp02\advanced5_1:29: error: invalid module item."
advanced5,2,Fail,"lora3_newData_50step_r128_temp02\advanced5_2:28: syntax error
I give up."
advanced5,3,Fail,"lora3_newData_50step_r128_temp02\advanced5_3:37: syntax error
I give up."
basic1,1,Yes,
basic1,2,Yes,
basic1,3,Yes,
basic2,1,Yes,
basic2,2,Yes,
basic2,3,Yes,
basic3,1,Yes,
basic3,2,Yes,
basic3,3,Yes,
basic4,1,No,
basic4,2,Fail,"lora3_newData_50step_r128_temp02\basic4_2:9: syntax error
I give up."
basic4,3,Fail,"lora3_newData_50step_r128_temp02\basic4_3:10: syntax error
I give up."
intermediate1,1,No,
intermediate1,2,Yes,
intermediate1,3,Fail,"lora3_newData_50step_r128_temp02\intermediate1_3:11: syntax error
I give up."
intermediate2,1,Yes,
intermediate2,2,Fail,"lora3_newData_50step_r128_temp02\intermediate2_2:16: syntax error
I give up."
intermediate2,3,Yes,
intermediate3,1,No,
intermediate3,2,Fail,"lora3_newData_50step_r128_temp02\intermediate3_2:22: syntax error
I give up."
intermediate3,3,No,
intermediate4,1,Yes,
intermediate4,2,Yes,
intermediate4,3,Yes,
intermediate5,1,Yes,
intermediate5,2,No,
intermediate5,3,No,
intermediate6,1,Yes,
intermediate6,2,Fail,"lora3_newData_50step_r128_temp02\intermediate6_2:11: error: q is not a valid l-value in tb_ram.UUT.
lora3_newData_50step_r128_temp02\intermediate6_2:3:      : q is declared here as wire.
1 error(s) during elaboration."
intermediate6,3,Fail,"lora3_newData_50step_r128_temp02\intermediate6_3:10: error: q is not a valid l-value in tb_ram.UUT.
lora3_newData_50step_r128_temp02\intermediate6_3:3:      : q is declared here as wire.
1 error(s) during elaboration."
intermediate7,1,Yes,
intermediate7,2,Fail,"lora3_newData_50step_r128_temp02\intermediate7_2:57: syntax error
I give up."
intermediate7,3,Yes,
intermediate8,1,No,
intermediate8,2,Yes,
intermediate8,3,No,
